,Country,Longitude,Latitude
0,Afghanistan,66.2385139,33.7680065
1,Africa,17.7578122,11.5024338
2,Albania,19.9999619,41.000028
3,Algeria,2.9999825,28.0000272
4,American Samoa,-170.692511,-14.289304
5,Angola,17.5691241,-11.8775768
6,Anguilla,-63.0750234,18.1954947
7,Antigua and Barbuda,-61.9554608,17.2234721
8,Argentina,-64.9672817,-34.9964963
9,Armenia,44.6736646,40.7696272
10,Asia,89.2343748,51.2086975
11,Australia,134.755,-24.7761086
12,Austria,13.2,47.2
13,Azerbaijan,47.7872508,40.3936294
14,Bahamas,-78.0000547,24.7736546
15,Bangladesh,90.00386523825051,23.5031022
16,Barbados,-59.5250305,13.1500331
17,Belarus,27.6971358,53.4250605
18,Belgium,4.6667145,50.6402809
19,Belize,-88.7600927,16.8259793
20,Benin,2.2584408,9.5293472
21,Bermuda,-64.7603583,32.3018217
22,Bhutan,90.5119273,27.549511
23,Bolivia,-64.9912286,-17.0568696
24,Bosnia and Herzegovina,17.5961467,44.3053476
25,Botswana,24.5928742,-23.1681782
26,Brazil,-53.2,-10.3333333
27,British Virgin Islands,-64.5661642,18.4024395
28,Brunei,114.5653908,4.4137155
29,Bulgaria,25.4856617,42.6073975
30,Burkina Faso,-1.6880314,12.0753083
31,Burundi,29.8870575,-3.3634357
32,Cambodia,104.869423,13.5066394
33,Cameroon,13.1535811,4.6125522
34,Canada,-107.991707,61.0666922
35,Cape Verde,-24.0083947,16.0000552
36,Cayman Islands,-79.9174627243246,19.703182249999998
37,Central African Republic,19.9981227,7.0323598
38,Chad,19.0156172,15.6134137
39,Chile,-71.3187697,-31.7613365
40,China,104.999927,35.000074
41,Colombia,-72.9088133,4.099917
42,Comoros,44.2832964,-12.2045176
43,Congo,15.6419155,-0.7264327
44,Costa Rica,-84.0739102,10.2735633
45,Cote d'Ivoire,-5.5679458,7.9897371
46,Croatia,17.0118954,45.5643442
47,Cuba,-80.8328748,23.0131338
48,Cyprus,33.1451285,34.9823018
49,Czechia,15.4749544,49.8167003
